Dates,Active-Count,CPU-Utilization,Total-Memory-Usage,Average-Temperature
13-08-2018 14:45,12094,21,42.03140247,35.63636364
13-08-2018 15:00,11996,19,42.02807271,35.54545455
13-08-2018 15:15,11857,20,42.02429145,35.54545455
13-08-2018 15:30,11658,20,42.02214686,35.27272727
13-08-2018 15:45,11361,20,42.01960721,35
13-08-2018 16:00,11184,18,42.01153677,34.09090909
13-08-2018 16:15,10949,18,42.00815058,33.09090909
13-08-2018 16:30,10867,18,42.00781196,32.90909091
13-08-2018 16:45,10454,18,42.00882782,35.72727273
13-08-2018 17:00,10131,17,42.00894069,34.81818182
13-08-2018 17:15,9666,17,42.01029517,34.90909091
13-08-2018 17:30,9262,15,41.99900784,34.54545455
13-08-2018 17:45,9047,16,41.99895141,34.18181818
13-08-2018 18:00,8737,15,42.00459507,35.18181818
13-08-2018 18:15,8454,15,42.02762121,35.27272727
13-08-2018 18:30,8245,14,42.03834417,35.45454545
13-08-2018 19:00,7951,11,42.07914785,34.90909091
13-08-2018 19:15,7847,12,42.08727473,35.27272727
13-08-2018 19:30,7766,12,42.0873876,34.90909091
13-08-2018 19:45,7688,12,42.08862921,36.90909091
13-08-2018 20:00,7607,12,42.09737688,33.45454545
13-08-2018 20:15,7570,12,42.10793053,35
13-08-2018 20:30,7567,13,42.11255833,35.18181818
13-08-2018 20:45,7495,13,42.11741188,35.36363636
13-08-2018 21:00,7478,11,42.11763763,34.63636364
13-08-2018 21:15,7462,12,42.1187337,35.45454545
13-08-2018 21:30,7412,11,42.11845151,35.09090909
13-08-2018 21:45,7376,12,42.11816933,35.09090909
13-08-2018 22:00,7368,10,42.12037036,33.63636364
13-08-2018 22:15,7338,12,42.12883586,35
13-08-2018 22:30,7327,11,42.13109332,35
13-08-2018 22:45,7325,12,42.12979528,35.09090909
13-08-2018 23:00,7289,11,42.13064183,32.90909091
13-08-2018 23:15,7278,12,42.13103689,33.27272727
13-08-2018 23:30,7260,14,42.13199631,34.27272727
13-08-2018 23:45,7249,12,42.13154482,35.36363636
14-08-2018 00:00,7273,13,42.13177056,35.18181818
14-08-2018 00:15,7349,12,42.13137551,34.27272727
14-08-2018 00:30,7338,12,42.1301339,33.27272727
14-08-2018 00:45,7458,14,42.12945666,34.36363636
14-08-2018 01:00,7624,11,42.12178128,34.27272727
14-08-2018 01:15,7812,12,42.11890301,34.27272727
14-08-2018 01:30,7986,14,42.11483957,33.72727273
14-08-2018 01:45,7986,15,42.11546037,34.27272727
14-08-2018 02:00,7986,14,42.11354152,34.72727273
14-08-2018 02:15,7986,14,42.10631763,35
14-08-2018 02:30,7986,15,42.10214132,35.45454545
14-08-2018 02:45,7986,14,42.09457881,35.18181818
14-08-2018 03:00,7986,16,42.09548179,33.09090909
14-08-2018 03:15,7986,15,42.08645193,34.81818182
14-08-2018 03:30,7986,18,42.08357366,35.09090909
14-08-2018 03:45,7986,21,42.07667328,35.09090909
14-08-2018 04:00,7986,24,42.07193256,35.27272727
14-08-2018 04:15,7986,25,42.07232762,35.18181818
14-08-2018 04:30,7986,25,42.07023944,35.63636364
14-08-2018 04:45,7986,27,42.06877207,35
14-08-2018 05:00,7986,29,42.17227784,34.63636364
14-08-2018 05:15,7986,34,42.17679281,34.27272727
14-08-2018 05:30,15180,32.66666667,42.17679281,32.72727273
14-08-2018 05:45,15180,31,42.3732812,32.90909091
